type,uuid,fullName,pureName,author,fullTitleCache,RANK,taxon,treeIndex
Taxon,5c25b2b4-7b3f-4d37-9123-ebc776fd720a,Rapicactus Buxb. & Oehme,Rapicactus,Buxb. & Oehme,Rapicactus Buxb. & Oehme in Cactaceae (Berlin) 1942(1): 24. 1942,Genus,Rapicactus Buxb. & Oehme sec. Vázquez-Sánchez & al. 2019,#t42#33819#33820#33837#33839#2480#
Taxon,aa225772-b7dc-4a12-828d-7fe67c0cedc5,Rauhocereus Backeb.,Rauhocereus,Backeb.,"Rauhocereus Backeb., Descr. Cact. Nov. 1: 5. 1957 [""1956""]",Genus,Rauhocereus Backeb. sec. Hunt 2006,#t42#33819#33820#33837#33839#1702#
Taxon,8ccb2060-6baa-44fc-ba54-9f8c280aca8f,Rebutia K.Schum.,Rebutia,K.Schum.,Rebutia K.Schum. in Monatsschr. Kakteenk. 5: 102. 1895,Genus,Rebutia K.Schum. sec. Ritz & al. 2007,#t42#33819#33820#33837#33839#76#
Taxon,8c8dfb49-cae4-40e2-998b-5494c396fbc1,Reicheocactus Backeb.,Reicheocactus,Backeb.,Reicheocactus Backeb. in Cactaceae (Berlin) 1941(2): 76. 1942,Genus,Reicheocactus Backeb. sec. Hunt 2016,#t42#33819#33820#33837#33839#11122#
Taxon,2752c2ec-e90f-42db-b296-c5d7c1949689,Rhipsalidopsis Britton & Rose,Rhipsalidopsis,Britton & Rose,"Rhipsalidopsis Britton & Rose, Cactaceae 4: 209. 1923",Genus,Rhipsalidopsis Britton & Rose sec. Korotkova & al. 2011,#t42#33819#33820#33837#33839#2010#
Taxon,b15ec01d-b909-4143-b197-e752b6f34d5b,Rhipsalis Gaertn.,Rhipsalis,Gaertn.,"Rhipsalis Gaertn., Fruct. Sem. Pl. 1: 137. 1788, nom. cons.",Genus,"Rhipsalis Gaertn., nom. cons., sec. Korotkova 2021",#t42#33819#33820#33837#33839#794#
Taxon,b29cf6cd-47cb-4748-a67b-b73d6497a93f,Rimacactus Mottram,Rimacactus,Mottram,Rimacactus Mottram in Bradleya 19: 75. 2001,Genus,Rimacactus Mottram sec. Guerrero & al. 2020,#t42#33819#33820#33837#33839#28488#
Taxon,5569cb98-083c-4015-a367-918f36359fc7,Salmonopuntia P.V.Heath,Salmonopuntia,P.V.Heath,Salmonopuntia P.V.Heath in Calyx 6(2): 41. 1999,Genus,Salmonopuntia P.V.Heath sec. Köhler & al. 2020,#t42#33819#33820#33837#33839#2530#
Taxon,9584bba5-2567-4832-9f13-f80451118314,Schlumbergera Lem.,Schlumbergera,Lem.,Schlumbergera Lem. in Ill. Hort. 5: 24. 1858,Genus,Schlumbergera Lem. sec. Korotkova & al. 2011,#t42#33819#33820#33837#33839#360#
Taxon,e58609b6-0a9f-49b5-876c-f4becf185120,Sclerocactus Britton & Rose,Sclerocactus,Britton & Rose,"Sclerocactus Britton & Rose, Cactaceae 3: 212. 1922",Genus,Sclerocactus Britton & Rose sec. Hunt 2016,#t42#33819#33820#33837#33839#627#
